mutantNo;[FAIL | TIME | EXC | LIVE]
3;FAIL
4;FAIL
5;LIVE
11;FAIL
13;FAIL
15;FAIL
16;LIVE
20;LIVE
21;LIVE
22;EXC
23;LIVE
24;LIVE
25;LIVE
26;LIVE
27;LIVE
28;LIVE
30;FAIL
31;FAIL
32;FAIL
33;FAIL
34;FAIL
35;FAIL
36;FAIL
37;FAIL
38;FAIL
39;LIVE
40;LIVE
41;EXC
42;EXC
43;EXC
44;EXC
45;EXC
46;EXC
47;EXC
48;EXC
49;EXC
50;EXC
51;EXC
52;EXC
53;EXC
54;EXC
55;EXC
56;EXC
57;EXC
58;EXC
59;EXC
60;EXC
61;LIVE
62;EXC
63;FAIL
64;LIVE
65;EXC
66;FAIL
67;FAIL
68;FAIL
69;FAIL
70;FAIL
71;FAIL
72;LIVE
73;EXC
74;FAIL
75;FAIL
76;EXC
77;FAIL
78;FAIL
79;EXC
80;FAIL
81;LIVE
82;FAIL
83;EXC
84;LIVE
85;EXC
86;LIVE
87;LIVE
88;EXC
89;LIVE
90;FAIL
91;EXC
92;EXC
93;LIVE
94;EXC
95;FAIL
96;FAIL
97;EXC
98;EXC
99;LIVE
100;FAIL
101;LIVE
102;LIVE
103;LIVE
104;LIVE
105;FAIL
106;FAIL
107;FAIL
108;FAIL
109;EXC
110;EXC
111;FAIL
112;LIVE
113;LIVE
114;LIVE
115;LIVE
116;LIVE
117;EXC
118;LIVE
119;EXC
120;FAIL
121;LIVE
122;FAIL
123;FAIL
124;LIVE
125;EXC
126;FAIL
127;FAIL
128;FAIL
129;FAIL
130;FAIL
131;FAIL
132;FAIL
133;LIVE
136;LIVE
139;LIVE
142;LIVE
145;LIVE
148;LIVE
151;LIVE
153;LIVE
160;LIVE
162;LIVE
169;LIVE
174;FAIL
175;EXC
176;LIVE
177;LIVE
178;FAIL
179;EXC
180;LIVE
181;LIVE
183;LIVE
184;LIVE
185;FAIL
186;EXC
187;FAIL
188;FAIL
190;LIVE
191;LIVE
192;FAIL
193;EXC
194;LIVE
195;LIVE
197;LIVE
198;LIVE
199;FAIL
200;EXC
201;FAIL
202;FAIL
204;FAIL
205;FAIL
206;FAIL
207;FAIL
208;FAIL
209;FAIL
210;FAIL
211;FAIL
212;FAIL
213;LIVE
214;FAIL
215;FAIL
216;FAIL
217;FAIL
218;FAIL
219;FAIL
220;LIVE
222;FAIL
223;EXC
224;LIVE
226;FAIL
227;EXC
228;LIVE
230;LIVE
231;EXC
232;LIVE
234;LIVE
235;EXC
236;LIVE
237;LIVE
238;EXC
239;FAIL
240;FAIL
242;LIVE
243;FAIL
244;FAIL
245;LIVE
246;FAIL
247;FAIL
248;FAIL
249;LIVE
250;FAIL
251;FAIL
252;LIVE
253;FAIL
254;FAIL
255;FAIL
256;LIVE
257;FAIL
258;FAIL
259;LIVE
260;FAIL
261;FAIL
262;FAIL
263;LIVE
264;FAIL
265;FAIL
266;LIVE
267;FAIL
268;FAIL
269;FAIL
270;LIVE
271;LIVE
272;LIVE
273;LIVE
274;LIVE
275;LIVE
276;LIVE
277;LIVE
278;LIVE
279;LIVE
280;LIVE
281;EXC
282;LIVE
283;EXC
284;LIVE
285;EXC
286;LIVE
287;LIVE
288;EXC
289;LIVE
290;LIVE
291;LIVE
292;LIVE
293;LIVE
294;LIVE
295;LIVE
296;LIVE
297;LIVE
298;LIVE
299;EXC
300;LIVE
301;LIVE
302;LIVE
303;LIVE
304;LIVE
305;LIVE
306;LIVE
307;LIVE
308;LIVE
309;LIVE
310;LIVE
311;LIVE
312;LIVE
313;LIVE
314;LIVE
315;LIVE
316;LIVE
317;EXC
318;LIVE
319;LIVE
320;LIVE
321;LIVE
322;LIVE
323;LIVE
324;LIVE
325;LIVE
326;LIVE
327;LIVE
328;LIVE
329;LIVE
330;LIVE
331;LIVE
332;LIVE
333;LIVE
334;LIVE
335;LIVE
336;LIVE
337;LIVE
338;LIVE
339;LIVE
340;LIVE
341;LIVE
342;LIVE
364;LIVE
366;FAIL
368;FAIL
370;FAIL
372;FAIL
374;FAIL
376;FAIL
378;FAIL
380;FAIL
381;LIVE
382;LIVE
383;LIVE
384;LIVE
385;LIVE
386;FAIL
387;FAIL
389;FAIL
390;FAIL
391;LIVE
392;LIVE
393;LIVE
394;FAIL
395;FAIL
396;LIVE
397;LIVE
399;FAIL
400;FAIL
401;LIVE
402;FAIL
403;FAIL
404;FAIL
405;FAIL
406;FAIL
407;FAIL
410;LIVE
411;LIVE
412;LIVE
413;LIVE
414;LIVE
415;LIVE
416;LIVE
418;FAIL
419;FAIL
420;FAIL
421;LIVE
